fips,state,area_name,higher_ed_proportion,poverty_proportion
00000,US,United States,29.8,14.7
01000,AL,Alabama,23.5,18.5
01001,AL,Autauga County,23.2,12.7
01003,AL,Baldwin County,29,12.9
01005,AL,Barbour County,12.5,32
01007,AL,Bibb County,10.6,22.2
01009,AL,Blount County,12.9,14.7
01011,AL,Bullock County,13.9,39.6
01013,AL,Butler County,14.5,25.8
01015,AL,Calhoun County,17.6,20
01017,AL,Chambers County,11.6,22.4
01019,AL,Cherokee County,13.8,19.4
01021,AL,Chilton County,14.1,20.2
01023,AL,Choctaw County,11.8,24.4
01025,AL,Clarke County,12.9,22.2
01027,AL,Clay County,9.6,18.4
01029,AL,Cleburne County,12.1,18.9
01031,AL,Coffee County,23.9,16.2
01033,AL,Colbert County,18.6,18.1
01035,AL,Conecuh County,8.2,28.3
01037,AL,Coosa County,8.5,20.3
01039,AL,Covington County,14.3,22.3
01041,AL,Crenshaw County,14.3,19.9
01043,AL,Cullman County,14.6,19.4
01045,AL,Dale County,16.4,18.5
01047,AL,Dallas County,14,34.6
01049,AL,DeKalb County,11.2,20.6
01051,AL,Elmore County,21.4,14
01053,AL,Escambia County,12.5,24.4
01055,AL,Etowah County,16,19
01057,AL,Fayette County,14.1,20.4
01059,AL,Franklin County,11.4,21.1
01061,AL,Geneva County,12.3,22.4
01063,AL,Greene County,10.9,37.7
01065,AL,Hale County,13.9,28.5
01067,AL,Henry County,16.5,17
01069,AL,Houston County,20.6,18.3
01071,AL,Jackson County,12.4,18.4
01073,AL,Jefferson County,30.8,18
01075,AL,Lamar County,11.5,24.7
01077,AL,Lauderdale County,21.8,17.3
01079,AL,Lawrence County,11.1,18.7
01081,AL,Lee County,34,21
01083,AL,Limestone County,23.2,14.3
01085,AL,Lowndes County,14.1,35.2
01087,AL,Macon County,19.3,32.2
01089,AL,Madison County,39.4,13.3
01091,AL,Marengo County,15.3,23.3
01093,AL,Marion County,11.5,19.8
01095,AL,Marshall County,16.6,20.1
01097,AL,Mobile County,22,18.4
01099,AL,Monroe County,12.2,28.6
01101,AL,Montgomery County,31.1,22.8
01103,AL,Morgan County,21.3,16.4
01105,AL,Perry County,13.2,40
01107,AL,Pickens County,9.9,24.3
01109,AL,Pike County,23.4,25.9
01111,AL,Randolph County,15.1,18.7
01113,AL,Russell County,17.1,23
01115,AL,St. Clair County,15.6,12.4
01117,AL,Shelby County,40.8,8.5
01119,AL,Sumter County,16.3,33.2
01121,AL,Talladega County,13.1,22.4
01123,AL,Tallapoosa County,17.3,21.7
01125,AL,Tuscaloosa County,28.5,20
01127,AL,Walker County,10.8,20.6
01129,AL,Washington County,9.9,22.4
01131,AL,Wilcox County,12.5,33.2
01133,AL,Winston County,11.4,18.9
02000,AK,Alaska,28,10.4
02010,AK,Aleutian Islands,,
02013,AK,Aleutians East Borough,14,17.4
02016,AK,Aleutians West Census Area,14.7,8.5
02020,AK,Anchorage Municipality,33.2,8.7
02050,AK,Bethel Census Area,11.6,24.2
02060,AK,Bristol Bay Borough,20,9
02068,AK,Denali Borough,33.3,6.6
02070,AK,Dillingham Census Area,16.2,20
02090,AK,Fairbanks North Star Borough,31.7,8.1
02100,AK,Haines Borough,35.6,10.9
02105,AK,Hoonah-Angoon Census Area,26.6,16.2
02110,AK,Juneau City and Borough,38.5,8
02122,AK,Kenai Peninsula Borough,22.8,11.4
02130,AK,Ketchikan Gateway Borough,23.8,10.3
02150,AK,Kodiak Island Borough,24.7,7.5
02158,AK,Kusilvak Census Area,5,31.8
02160,AK,Kuskokwim Division,,
02164,AK,Lake and Peninsula Borough,12.9,19.3
02170,AK,Matanuska-Susitna Borough,20.7,9.8
02180,AK,Nome Census Area,14.1,21.4
02185,AK,North Slope Borough,13.9,12.6
02188,AK,Northwest Arctic Borough,10.6,26.3
02195,AK,Petersburg Census Area,25.3,7.9
02198,AK,Prince of Wales-Hyder Census Area,15.5,15.6
02201,AK,Prince of Wales-Outer Ketchikan Census Area,,
02220,AK,Sitka City and Borough,31.2,9.2
02230,AK,Skagway Municipality,35.9,3.7
02231,AK,Skagway-Yakutat-Angoon Census Area,,
02232,AK,Skagway-Hoonah-Angoon Census Area,,
02240,AK,Southeast Fairbanks Census Area,17.9,13.5
02250,AK,Upper Yukon Division,,
02261,AK,Valdez-Cordova Census Area,28.7,9.5
02275,AK,Wrangell City and Borough,19.9,12
02280,AK,Wrangell-Petersburg Census Area,,
02282,AK,Yakutat City and Borough,15.3,15.4
02290,AK,Yukon-Koyukuk Census Area,11.2,23.4
04000,AZ,Arizona,27.5,17.4
04001,AZ,Apache County,10.8,38
04003,AZ,Cochise County,22.9,16.9
04005,AZ,Coconino County,33.6,19.5
04007,AZ,Gila County,16.7,21.3
04009,AZ,Graham County,13.2,22.9
04011,AZ,Greenlee County,10.8,10.1
04012,AZ,La Paz County,9.9,22.2
04013,AZ,Maricopa County,30.4,16.3
04015,AZ,Mohave County,11.8,17.4
04017,AZ,Navajo County,14.7,28.1
04019,AZ,Pima County,30.3,18.7
04021,AZ,Pinal County,18,15.8
04023,AZ,Santa Cruz County,22,24.4
04025,AZ,Yavapai County,25.6,15.1
04027,AZ,Yuma County,14.4,21.1
05000,AR,Arkansas,21.1,18.7
05001,AR,Arkansas County,12.4,20.7
05003,AR,Ashley County,13.2,19.6
05005,AR,Baxter County,17.9,16.4
05007,AR,Benton County,30.2,10.8
05009,AR,Boone County,14.7,16.5
05011,AR,Bradley County,13,28
05013,AR,Calhoun County,10.4,16.7
05015,AR,Carroll County,16.7,16.6
05017,AR,Chicot County,11.1,31.4
05019,AR,Clark County,23.9,22.5
05021,AR,Clay County,11,20.8
05023,AR,Cleburne County,16.8,15.6
05025,AR,Cleveland County,15.4,18.1
05027,AR,Columbia County,20,23.8
05029,AR,Conway County,16.5,17.8
05031,AR,Craighead County,25.4,17.3
05033,AR,Crawford County,14.5,14.4
05035,AR,Crittenden County,16.4,25.9
05037,AR,Cross County,13.7,21.5
05039,AR,Dallas County,13.1,21.3
05041,AR,Desha County,11.9,30.9
05043,AR,Drew County,20.5,21.2
05045,AR,Faulkner County,28.3,14.8
05047,AR,Franklin County,12.3,18.2
05049,AR,Fulton County,10.6,19.4
05051,AR,Garland County,21.4,19.3
05053,AR,Grant County,17.1,13.2
05055,AR,Greene County,15.4,17.1
05057,AR,Hempstead County,12.2,24.1
05059,AR,Hot Spring County,13,20.8
05061,AR,Howard County,15.1,18.7
05063,AR,Independence County,15.9,18
05065,AR,Izard County,12.7,19.8
05067,AR,Jackson County,8.8,27.5
05069,AR,Jefferson County,17.5,26.5
05071,AR,Johnson County,17.1,21.8
05073,AR,Lafayette County,11.8,22.7
05075,AR,Lawrence County,12.9,23.7
05077,AR,Lee County,7.9,35.9
05079,AR,Lincoln County,8.9,25.1
05081,AR,Little River County,10,19.9
05083,AR,Logan County,12.6,20.5
05085,AR,Lonoke County,19.1,11.9
05087,AR,Madison County,10.7,18.8
05089,AR,Marion County,13.2,18.8
05091,AR,Miller County,14.3,22.3
05093,AR,Mississippi County,13.2,26.3
05095,AR,Monroe County,9.4,30.9
05097,AR,Montgomery County,12.3,21.8
05099,AR,Nevada County,14.1,24
05101,AR,Newton County,14.6,24.2
